Date,Close,Market
1992-11-12,3239.800049,djia
1992-11-13,3233.0,djia
1992-11-16,3205.699951,djia
1992-11-17,3193.300049,djia
1992-11-18,3207.399902,djia
1992-11-19,3209.5,djia
1992-11-20,3227.399902,djia
1992-11-23,3223.0,djia
1992-11-24,3248.699951,djia
1992-11-25,3266.300049,djia
1992-11-27,3282.199951,djia
1992-11-30,3305.199951,djia
1992-12-01,3294.399902,djia
1992-12-02,3286.300049,djia
1992-12-03,3276.5,djia
1992-12-04,3288.699951,djia
1992-12-07,3307.300049,djia
1992-12-08,3322.199951,djia
1992-12-09,3323.800049,djia
1992-12-10,3312.199951,djia
1992-12-11,3304.100098,djia
1992-12-14,3292.199951,djia
1992-12-15,3284.399902,djia
1992-12-16,3255.199951,djia
1992-12-17,3269.199951,djia
1992-12-18,3313.300049,djia
1992-12-21,3312.5,djia
1992-12-22,3321.100098,djia
1992-12-23,3313.540039,djia
1992-12-24,3326.199951,djia
1992-12-28,3333.26001,djia
1992-12-29,3310.800049,djia
1992-12-30,3321.100098,djia
1992-12-31,3301.110107,djia
1993-01-04,3309.199951,djia
1993-01-05,3307.899902,djia
1993-01-06,3305.199951,djia
1993-01-07,3269.0,djia
1993-01-08,3251.699951,djia
1993-01-11,3262.75,djia
1993-01-12,3264.600098,djia
1993-01-13,3263.600098,djia
1993-01-14,3267.899902,djia
1993-01-15,3271.100098,djia
1993-01-18,3274.899902,djia
1993-01-19,3256.0,djia
1993-01-20,3242.0,djia
1993-01-21,3253.0,djia
1993-01-22,3256.800049,djia
1993-01-25,3292.199951,djia
1993-01-26,3299.0,djia
1993-01-27,3291.399902,djia
1993-01-28,3306.300049,djia
1993-01-29,3310.0,djia
1993-02-01,3332.199951,djia
1993-02-02,3328.699951,djia
1993-02-03,3373.8000490000004,djia
1993-02-04,3416.6999509999996,djia
1993-02-05,3442.100098,djia
1993-02-08,3437.5,djia
1993-02-09,3414.600098,djia
1993-02-10,3412.399902,djia
1993-02-11,3422.6999509999996,djia
1993-02-12,3392.429932,djia
1993-02-16,3309.5,djia
1993-02-17,3312.199951,djia
1993-02-18,3302.199951,djia
1993-02-19,3322.179932,djia
1993-02-22,3342.98999,djia
1993-02-23,3323.27002,djia
1993-02-24,3356.5,djia
